PA classification,Sector/Area,Sub-Sector,Source name,Description,"Type (General DB, specialized, ...)",Free/Paid?,Geography,Regional data,Country data,Frequency cover harmonized for all geos ? ,Frequency ,Years,Latest year available,Forecasts?,Latest forecast year avalable,Tags,Format ,Expert opinion,Submitter_email,Submitter_role,Status,Reliability score (1-10) ,Link,id
IG,Manufacturing,Automotive production,OICA Global Production Statistics ,"Provides data on production  of cars, including both passengers and commercial vehicles ",,Free ,Global,Yes,Yes,,,2019; 2020; 2021; 2022; 2023,1999; 2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023,,,Cars; Automotive; Auto; Car; Vehicle; car production; auto production; passenger car; commercial car; passenger auto; commercial auto; vehicle production;,Excel ,,hamza.boudallaa@infomineo.com,Admin,approved,,https://www.oica.net/production-statistics/,
PS ,Macroeconomics; Economics; National accounts ,SMEs,MSME Finance Gap ,"The MSME finance gap offers statistics on number of micro, small and medium enterprises as well as the number of Formal Enterprises by Level of Financial Constraint. ",,Free ,Global,No,Yes,,,1999; 2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023,2018; 2019,,,MSME; SME; Small Medium Enterprises; Small enterprises; medium enterprises; micro enterprises ,Excel ,,hamza.boudallaa@infomineo.com,Admin,approved,,https://www.smefinanceforum.org/data-sites/msme-finance-gap,
INS ,Financial Institutions ,Insurance,EIOPA,"EIOPA’s new insurance statistics are based on Solvency II regular reporting information from insurance undertakings and groups in the European Union and the European Economic Area (EEA). These statistics provide the most up to-date and comprehensive picture of the European insurance sector, including country breakdowns and distributions of key variables, allowing for the comparability of high-quality data.  ",,Free ,European Union ,Yes ,Yes ,,,2018; 2019,2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023; 2024,,,Insurance; premiums; claims; expenses; own funds; undertakings; non-life; life ,Excel ,,hamza.boudallaa@infomineo.com,Admin,approved,,https://www.eiopa.europa.eu/tools-and-data/insurance-statistics_en#premiums-claims-and-expenses,
IG,Mining ,Mining ,USGS Minerals Yearbook,"Annual reviews are designed to provide timely statistical data on mineral commodities in various countries. Each report includes sections on government policies and programs, environmental issues, trade and production data, industry structure and ownership, commodity sector developments, infrastructure, and a summary outlook.",,Free ,Global,No,Yes ,,,2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023; 2024, - ,,,Minerals; mining; cobalt; tin; coal; mineral exports; mineral export; mining export; mining exports; metals; bauxite; alumina; iron ore; diamond; mineral reserve; mineral resources; mineral reserves; natural gas; gold; silver ,Excel ; PDF,,hamza.boudallaa@infomineo.com,Admin,approved,,https://www.usgs.gov/centers/national-minerals-information-center/international-minerals-statistics-and-information,
TMT ,Innovation ,Patent ,EPO (Patents) ,Provides data on patent applications filed with the EPO as well as granted patents following country and sector split ,,Free ,Europe ,Yes ,Yes ,,, - ,2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023,,,Patents; filed patents; granted patents ,Excel; PDF ,,hamza.boudallaa@infomineo.com,Admin,approved,,https://www.epo.org/en/about-us/statistics/data-download,
PS ,Macroeconomics ,Wealth,World Inequality Database ,"The World Inequality Database (WID) aims to provide open and convenient access to the most extensive available database on the historical evolution of the world distribution of income and wealth, both within countries and between countries.",,Free ,Global,Yes ,Yes ,,,2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023,Since 1800,,,"Average income; income inequality; average wealth; Wealth Inequality; wealth income ratio; Carbon inequality; carbon emitters
Gender inequality; Female labor income share",Excel ,,hamza.boudallaa@infomineo.com,Admin,approved,,https://wid.world/data/,
PS,Demographics ,Geospatial data ,Africapolis ,"Africapolis offers a standardized and geospatial database on urbanization in Africa, covering all 54 countries with data from 2015. It includes 7,496 small towns and intermediary cities, based on a large inventory of housing and population censuses, electoral registers, and satellite images to address data gaps. Developed by e-Geopolis and the OECD Sahel and West Africa Club, Africapolis aims to support urban planning and sustainability efforts across the continent.",,Free ,Africa ,No,Yes ,,,Since 1800,Since 1950,,,Geospatial map; Metropolitan population; urban population; Africa map; agglomeration population; ,Map; Excel ,,hamza.boudallaa@infomineo.com,Admin,approved,,https://africapolis.org/en/data?country=Angola&keyfigure=totalPop&type=abs&year=2015,
PS ,Macroeconomics; Economics; National accounts ,Business Statistics ,Eurostat Structural Business Statistics ,Offers data on enterprises number by sector (NACE Rev. 2 activity) ,,Free ,European Union; Europe ,Yes ,Yes ,,,Since 1950,2021; 2022,,,Number of companies; companies number; number of companies by size class; businesses by sector ,Excel ,,hamza.boudallaa@infomineo.com,Admin,approved,,https://ec.europa.eu/eurostat/web/structural-business-statistics/database,
IG,Agriculture,Agriculture,"USDA Production, Supply & Distribution ","Provides production, imports, total supply, domestic consumption, exports, withdrawal from market for a large number of commodities",,Free ,Global,No,Yes ,,,2021; 2022,Since 1960,,,Animal; cotton; coffee; dairy; butter; cattle; swine; almond; almonds; barley; sugar; wheat; rye; pistachios; poultry; peaches; oranges; soybean; sunflower seed; rapeseed; cottonseed; peanut; oilseed; olive oil; peanut oil; meal; millet; chicken; lemons; lemon; limes; milk; cheese; grapes; Agriculture production; Agriculture exports; ,Excel ,,hamza.boudallaa@infomineo.com,Admin,approved,,https://apps.fas.usda.gov/psdonline/app/index.html#/app/advQuery,
GA,Macroeconomics; Economics; National accounts ,Business Statistics ,The WB Enterprise Surveys ,"The World Bank Enterprise Surveys offer an expansive array of economic data on more than 219,000 firms in 159 economies. Over 350 WBES, 12 Informal Sector Enterprise Surveys in 38 cities, Micro-Enterprise surveys, other surveys, and cross-economy databases in the data portal. The focus is mainly on business obstacles around the around on key questions relevant to tax, corruption, infrastructure..;etc.. ",,Free ,Global,No,Yes ,,,Since 1960, - ,,,business obstacles; company barriers; business barriers;  business activity;  Management practices index; informal firms; female participation; Bribery incidence; female ownership; ,Excel ,,hamza.boudallaa@infomineo.com,Admin,approved,,https://www.enterprisesurveys.org/en/data/exploreeconomies/2020/belgium#2,
